Abomination of Llanowar
Aboshan, Cephalid Emperor
Winota, Joiner of Forces
Wort, Boggart Auntie
Wort, the Raidmother
Wrexial, the Risen Deep
Wydwen, the Biting Gale
Wyleth, Soul of Steel
X
Xantcha, Sleeper Agent
Xenagos, God of Revels
Xiahou Dun, the One-Eyed
Xira Arien
Xun Yu, Wei Advisor
Xyris, the Writhing Storm
Yahenni, Undying Partisan
Yannik, Scavenging Sentinel
Yargle, Glutton of Urborg
Yarok, the Desecrated
Yasharn, Implacable Earth
Yasova Dragonclaw
Yawgmoth, Thran Physician
Yennett, Cryptic Sovereign
Yeva, Nature's Herald
Yidaro, Wandering Monster
Yidris, Maelstrom Wielder
Yisan, the Wanderer Bard
Yomiji, Who Bars the Way
Yorion, Sky Nomad
Yorvo, Lord of Garenbrig
Yosei, the Morning Star
Yuan Shao, the Indecisive
Yukora, the Prisoner
Yuriko, the Tiger's Shadow
Yurlok of Scorch Thrash
Zacama, Primal Calamity
Zada, Hedron Grinder
Zagras, Thief of Heartbeats
Zahid, Djinn of the Lamp
Zara, Renegade Recruiter
Zareth San, the Trickster
Zaxara, the Exemplary
Zedruu the Greathearted
Zegana, Utopian Speaker
Zetalpa, Primal Dawn
Zhang Fei, Fierce Warrior
Zhang He, Wei General
Zhang Liao, Hero of Hefei
Zhao Zilong, Tiger General
Zhou Yu, Chief Commander
Zhuge Jin, Wu Strategist
Zilortha, Strength Incarnate
Zirda, the Dawnwaker
Zirilan of the Claw
Zndrsplt, Eye of Wisdom
Zo-Zu the Punisher
Zuberi, Golden Feather
Zuo Ci, the Mocking Sage
Zur the Enchanter
Zurgo Bellstriker
Zurgo Helmsmasher
Zurzoth, Chaos Rider
Zyym, Mesmeric Lord
